case_id,image_path,label_path,dataset_source,spacing_x,spacing_y,spacing_z,shape_x,shape_y,shape_z
sub_gl003_dir_ax,${VERSE_ROOT}/rawdata/sub-gl003/sub-gl003_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl003/sub-gl003_dir-ax_seg-vert_msk.nii.gz,verse,0.291016,0.291016,1.250000,512,512,214
sub_gl016_dir_ax,${VERSE_ROOT}/rawdata/sub-gl016/sub-gl016_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl016/sub-gl016_dir-ax_seg-vert_msk.nii.gz,verse,0.351562,0.351562,1.250000,512,512,180
sub_gl047_dir_ax,${VERSE_ROOT}/rawdata/sub-gl047/sub-gl047_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl047/sub-gl047_dir-ax_seg-vert_msk.nii.gz,verse,0.298828,0.298828,1.250000,512,512,181
sub_gl090_dir_ax,${VERSE_ROOT}/rawdata/sub-gl090/sub-gl090_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl090/sub-gl090_dir-ax_seg-vert_msk.nii.gz,verse,0.273438,0.273438,1.250000,512,512,171
sub_gl124_dir_ax,${VERSE_ROOT}/rawdata/sub-gl124/sub-gl124_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl124/sub-gl124_dir-ax_seg-vert_msk.nii.gz,verse,0.312500,0.312500,1.250000,512,512,190
sub_gl240_dir_ax,${VERSE_ROOT}/rawdata/sub-gl240/sub-gl240_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl240/sub-gl240_dir-ax_seg-vert_msk.nii.gz,verse,0.312500,0.312500,1.250000,512,512,174
sub_gl247_dir_ax,${VERSE_ROOT}/rawdata/sub-gl247/sub-gl247_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl247/sub-gl247_dir-ax_seg-vert_msk.nii.gz,verse,0.306641,0.306641,1.250000,512,512,228
sub_gl295_dir_ax,${VERSE_ROOT}/rawdata/sub-gl295/sub-gl295_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl295/sub-gl295_dir-ax_seg-vert_msk.nii.gz,verse,0.273438,0.273438,1.250000,512,512,221
sub_gl364_dir_ax,${VERSE_ROOT}/rawdata/sub-gl364/sub-gl364_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl364/sub-gl364_dir-ax_seg-vert_msk.nii.gz,verse,0.273438,0.273438,1.250000,512,512,149
sub_gl453_dir_ax,${VERSE_ROOT}/rawdata/sub-gl453/sub-gl453_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-gl453/sub-gl453_dir-ax_seg-vert_msk.nii.gz,verse,0.273438,0.273438,1.250000,512,512,181
sub_verse500_dir_ax,${VERSE_ROOT}/rawdata/sub-verse500/sub-verse500_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse500/sub-verse500_dir-ax_seg-vert_msk.nii.gz,verse,0.683594,0.683594,0.900000,512,512,542
sub_verse504_dir_iso,${VERSE_ROOT}/rawdata/sub-verse504/sub-verse504_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse504/sub-verse504_dir-iso_seg-vert_msk.nii.gz,verse,0.890625,0.890625,0.900000,512,512,460
sub_verse506_dir_iso,${VERSE_ROOT}/rawdata/sub-verse506/sub-verse506_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse506/sub-verse506_dir-iso_seg-vert_msk.nii.gz,verse,0.865234,0.865234,0.900000,512,512,817
sub_verse507_dir_ax,${VERSE_ROOT}/rawdata/sub-verse507/sub-verse507_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse507/sub-verse507_dir-ax_seg-vert_msk.nii.gz,verse,0.295573,0.295573,0.449997,768,768,665
sub_verse510_dir_ax,${VERSE_ROOT}/rawdata/sub-verse510/sub-verse510_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse510/sub-verse510_dir-ax_seg-vert_msk.nii.gz,verse,0.804688,0.804688,0.900000,512,512,722
sub_verse514_dir_ax,${VERSE_ROOT}/rawdata/sub-verse514/sub-verse514_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse514/sub-verse514_dir-ax_seg-vert_msk.nii.gz,verse,0.705078,0.705078,0.900000,512,512,688
sub_verse518_dir_ax,${VERSE_ROOT}/rawdata/sub-verse518/sub-verse518_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse518/sub-verse518_dir-ax_seg-vert_msk.nii.gz,verse,0.847656,0.847656,0.900000,512,512,743
sub_verse519_dir_iso,${VERSE_ROOT}/rawdata/sub-verse519/sub-verse519_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse519/sub-verse519_dir-iso_seg-vert_msk.nii.gz,verse,0.871094,0.871094,0.900000,512,512,738
sub_verse521_dir_ax,${VERSE_ROOT}/rawdata/sub-verse521/sub-verse521_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse521/sub-verse521_dir-ax_seg-vert_msk.nii.gz,verse,0.683594,0.683594,1.000000,512,512,487
sub_verse525_dir_sag,${VERSE_ROOT}/rawdata/sub-verse525/sub-verse525_dir-sag_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse525/sub-verse525_dir-sag_seg-vert_msk.nii.gz,verse,0.380859,0.380797,3.000383,512,1229,119
sub_verse527_dir_ax,${VERSE_ROOT}/rawdata/sub-verse527/sub-verse527_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse527/sub-verse527_dir-ax_seg-vert_msk.nii.gz,verse,0.783203,0.783203,0.900000,512,512,589
sub_verse532_dir_ax,${VERSE_ROOT}/rawdata/sub-verse532/sub-verse532_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse532/sub-verse532_dir-ax_seg-vert_msk.nii.gz,verse,0.931641,0.931641,0.600000,512,512,993
sub_verse534_dir_iso,${VERSE_ROOT}/rawdata/sub-verse534/sub-verse534_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse534/sub-verse534_dir-iso_seg-vert_msk.nii.gz,verse,0.888672,0.888672,0.900000,512,512,506
sub_verse535_dir_iso,${VERSE_ROOT}/rawdata/sub-verse535/sub-verse535_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse535/sub-verse535_dir-iso_seg-vert_msk.nii.gz,verse,0.912109,0.912109,0.900000,512,512,550
sub_verse536_dir_ax,${VERSE_ROOT}/rawdata/sub-verse536/sub-verse536_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse536/sub-verse536_dir-ax_seg-vert_msk.nii.gz,verse,0.796875,0.796875,0.900000,512,512,610
sub_verse537_dir_iso,${VERSE_ROOT}/rawdata/sub-verse537/sub-verse537_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse537/sub-verse537_dir-iso_seg-vert_msk.nii.gz,verse,0.869141,0.869141,0.900000,512,512,493
sub_verse539_dir_ax,${VERSE_ROOT}/rawdata/sub-verse539/sub-verse539_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse539/sub-verse539_dir-ax_seg-vert_msk.nii.gz,verse,0.976562,0.976562,0.900000,512,512,678
sub_verse541_dir_ax,${VERSE_ROOT}/rawdata/sub-verse541/sub-verse541_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse541/sub-verse541_dir-ax_seg-vert_msk.nii.gz,verse,0.736328,0.736328,0.900000,512,512,534
sub_verse542_dir_iso,${VERSE_ROOT}/rawdata/sub-verse542/sub-verse542_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse542/sub-verse542_dir-iso_seg-vert_msk.nii.gz,verse,0.925781,0.925781,0.900000,512,512,755
sub_verse544_dir_ax,${VERSE_ROOT}/rawdata/sub-verse544/sub-verse544_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse544/sub-verse544_dir-ax_seg-vert_msk.nii.gz,verse,0.695312,0.695312,0.600037,512,512,528
sub_verse561_dir_sag,${VERSE_ROOT}/rawdata/sub-verse561/sub-verse561_dir-sag_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse561/sub-verse561_dir-sag_seg-vert_msk.nii.gz,verse,0.478516,0.478410,2.000000,512,1459,134
sub_verse564_dir_iso,${VERSE_ROOT}/rawdata/sub-verse564/sub-verse564_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse564/sub-verse564_dir-iso_seg-vert_msk.nii.gz,verse,0.869141,0.869141,0.900000,512,512,466
sub_verse565_dir_ax,${VERSE_ROOT}/rawdata/sub-verse565/sub-verse565_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse565/sub-verse565_dir-ax_seg-vert_msk.nii.gz,verse,0.798828,0.798828,0.900000,512,512,621
sub_verse577_dir_ax,${VERSE_ROOT}/rawdata/sub-verse577/sub-verse577_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse577/sub-verse577_dir-ax_seg-vert_msk.nii.gz,verse,0.821942,0.822266,0.600000,556,512,1284
sub_verse581_dir_ax,${VERSE_ROOT}/rawdata/sub-verse581/sub-verse581_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse581/sub-verse581_dir-ax_seg-vert_msk.nii.gz,verse,0.683594,0.683594,0.900002,512,512,991
sub_verse584_dir_ax,${VERSE_ROOT}/rawdata/sub-verse584/sub-verse584_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse584/sub-verse584_dir-ax_seg-vert_msk.nii.gz,verse,0.976562,0.976562,0.900000,512,512,545
sub_verse586_dir_iso,${VERSE_ROOT}/rawdata/sub-verse586/sub-verse586_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse586/sub-verse586_dir-iso_seg-vert_msk.nii.gz,verse,0.919922,0.919922,0.900000,512,512,792
sub_verse588,${VERSE_ROOT}/rawdata/sub-verse588/sub-verse588_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse588/sub-verse588_seg-vert_msk.nii.gz,verse,0.568359,0.568165,2.000000,512,1357,173
sub_verse593_dir_sag,${VERSE_ROOT}/rawdata/sub-verse593/sub-verse593_dir-sag_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse593/sub-verse593_dir-sag_seg-vert_msk.nii.gz,verse,0.595703,0.595665,3.000480,512,1338,164
sub_verse594_dir_ax,${VERSE_ROOT}/rawdata/sub-verse594/sub-verse594_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse594/sub-verse594_dir-ax_seg-vert_msk.nii.gz,verse,0.716797,0.716797,0.900000,512,512,583
sub_verse596_dir_ax,${VERSE_ROOT}/rawdata/sub-verse596/sub-verse596_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse596/sub-verse596_dir-ax_seg-vert_msk.nii.gz,verse,0.750000,0.750000,1.000000,512,512,319
sub_verse605_dir_sag,${VERSE_ROOT}/rawdata/sub-verse605/sub-verse605_dir-sag_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse605/sub-verse605_dir-sag_seg-vert_msk.nii.gz,verse,0.625000,0.624881,3.000000,512,1053,95
sub_verse619_dir_ax,${VERSE_ROOT}/rawdata/sub-verse619/sub-verse619_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse619/sub-verse619_dir-ax_seg-vert_msk.nii.gz,verse,0.718750,0.718750,0.900000,512,512,723
