operator_summary
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        41.94%        7.437s        43.90%        7.785s        3.892s       0.000us         0.00%       0.000us       0.000us       1.38 Gb           0 b           0 b           0 b             2  
                                       cudaLaunchKernel        39.19%        6.951s        39.22%        6.955s      71.866us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     719.00 Gb     721.84 Gb         96775  
                                       aten::group_norm         0.14%      25.445ms        23.63%        4.191s     704.407us       0.000us         0.00%        3.245s     545.433us           0 b           0 b     701.73 Gb      -5.55 Mb          5950  
                                aten::native_group_norm        -2.81%  -499008.269us        23.49%        4.166s     700.131us        2.988s        32.70%        3.245s     545.433us           0 b           0 b     701.74 Gb     -24.27 Gb          5950  
                                           aten::conv3d         0.36%      63.319ms        17.02%        3.018s     396.221us       0.000us         0.00%        4.158s     545.969us           0 b           0 b     913.67 Gb           0 b          7616  
                                            aten::empty        -7.58%  -1343834.731us        16.84%        2.987s      99.211us       0.000us         0.00%     264.724ms       8.794us      17.93 Mb      17.93 Mb     726.63 Gb     407.94 Gb         30103  
                                      aten::convolution         0.35%      61.251ms        16.66%        2.954s     387.907us       0.000us         0.00%        4.158s     545.969us           0 b           0 b     913.67 Gb           0 b          7616  
                                            aten::fill_        13.10%        2.322s        16.50%        2.926s      96.818us     272.976ms         2.99%     272.976ms       9.031us           0 b           0 b           0 b           0 b         30225  
                                     aten::_convolution         0.32%      56.441ms        16.31%        2.893s     379.865us       0.000us         0.00%        4.158s     545.969us           0 b           0 b     913.67 Gb     -27.00 Mb          7616  
                                aten::cudnn_convolution         2.69%     476.943ms        15.97%        2.833s     371.959us        4.020s        43.99%        4.020s     527.856us           0 b           0 b     913.67 Gb     292.41 Gb          7616  
